=== Ambient Light Controller Logger ===

Timestamp | Luminance [lux] | Brightness | Active Time Since Initialization [seconds]
2023-11-30T19:47:30 | 6186 | 7 | 2 
2023-11-30T19:47:45 | 7253 | 7 | 17 
2023-11-30T19:48:00 | 7253 | 7 | 32 
2023-11-30T19:48:15 | 6826 | 5 | 47 
2023-11-30T19:48:30 | 7466 | 5 | 62 
2023-11-30T19:48:45 | 7680 | 5 | 77 
2023-11-30T19:49:00 | 7680 | 5 | 92 
2023-11-30T19:49:15 | 7040 | 5 | 107 
2023-11-30T19:49:30 | 7680 | 5 | 122 
2023-11-30T19:49:45 | 7253 | 5 | 137 
2023-11-30T19:50:00 | 9173 | 6 | 152 
2023-11-30T19:50:15 | 7040 | 8 | 167 
2023-11-30T19:50:30 | 6826 | 8 | 182 
2023-11-30T19:50:45 | 6826 | 8 | 197 
2023-11-30T19:51:00 | 6826 | 8 | 212 
2023-11-30T19:51:15 | 6826 | 8 | 227 
2023-11-30T19:51:30 | 6826 | 8 | 242 
2023-11-30T19:51:45 | 6826 | 8 | 257 
2023-11-30T19:52:00 | 6826 | 8 | 272 
2023-11-30T19:52:15 | 7680 | 9 | 287 
2023-11-30T19:52:30 | 7680 | 9 | 302 
2023-11-30T19:52:45 | 6826 | 8 | 317 
2023-11-30T19:53:00 | 6826 | 8 | 332 
2023-11-30T19:53:15 | 6826 | 8 | 347 
2023-11-30T19:53:30 | 6826 | 8 | 362 
2023-11-30T19:53:45 | 6826 | 8 | 377 
2023-11-30T19:54:00 | 6826 | 8 | 392 
2023-11-30T19:54:15 | 7040 | 8 | 407 
2023-11-30T19:54:30 | 7040 | 8 | 422 
2023-11-30T19:54:45 | 7680 | 9 | 437 
2023-11-30T19:55:00 | 7680 | 9 | 452 
2023-11-30T19:55:15 | 7680 | 9 | 467 
2023-11-30T19:55:30 | 7680 | 9 | 482 
2023-11-30T19:55:45 | 7893 | 6 | 497 
2023-11-30T19:56:00 | 7253 | 5 | 512 
2023-11-30T19:56:15 | 7040 | 5 | 527 
2023-11-30T19:56:30 | 7253 | 5 | 542 
2023-11-30T19:56:45 | 7253 | 5 | 557 
2023-11-30T19:57:00 | 7253 | 5 | 572 
2023-11-30T19:57:15 | 7253 | 5 | 587 
2023-11-30T19:57:30 | 7253 | 5 | 602 
2023-11-30T19:57:45 | 7253 | 5 | 617 
2023-11-30T19:58:00 | 7253 | 5 | 632 
2023-11-30T19:58:15 | 7253 | 5 | 647 
2023-11-30T19:58:30 | 7253 | 5 | 662 
2023-11-30T19:58:45 | 7253 | 5 | 677 
2023-11-30T19:59:00 | 7253 | 5 | 692 
2023-11-30T19:59:15 | 7253 | 5 | 707 
2023-11-30T19:59:30 | 7253 | 5 | 722 
2023-11-30T19:59:45 | 7040 | 5 | 737 
2023-11-30T20:00:00 | 7253 | 5 | 752 
2023-11-30T20:00:15 | 7253 | 5 | 767 
2023-11-30T20:00:30 | 7253 | 5 | 782 
2023-11-30T20:00:45 | 7253 | 5 | 797 
2023-11-30T20:01:00 | 7253 | 5 | 812 
2023-11-30T20:01:15 | 7253 | 5 | 827 
2023-11-30T20:01:30 | 7253 | 5 | 842 
2023-11-30T20:01:45 | 7253 | 5 | 857 
2023-11-30T20:02:00 | 7040 | 5 | 872 
2023-11-30T20:02:15 | 7040 | 5 | 887 
2023-11-30T20:02:30 | 7253 | 5 | 902 
2023-11-30T20:02:45 | 7253 | 5 | 917 
2023-11-30T20:03:00 | 7253 | 5 | 932 
2023-11-30T20:03:15 | 7253 | 5 | 947 
2023-11-30T20:03:30 | 7253 | 5 | 962 
2023-11-30T20:03:45 | 7253 | 5 | 977 
2023-11-30T20:04:00 | 7253 | 5 | 992 
2023-11-30T20:04:15 | 7040 | 5 | 1007 
2023-11-30T20:04:30 | 7040 | 5 | 1022 
2023-11-30T20:04:45 | 7040 | 5 | 1037 
2023-11-30T20:05:00 | 7040 | 5 | 1052 
2023-11-30T20:05:15 | 7040 | 5 | 1067 
2023-11-30T20:05:30 | 7253 | 5 | 1082 
2023-11-30T20:05:45 | 7253 | 5 | 1097 
2023-11-30T20:06:00 | 7253 | 5 | 1112 
2023-11-30T20:06:15 | 7253 | 5 | 1127 
2023-11-30T20:06:30 | 7253 | 5 | 1142 
2023-11-30T20:06:45 | 7253 | 5 | 1157 
2023-11-30T20:07:00 | 7253 | 5 | 1172 
2023-11-30T20:07:15 | 7253 | 5 | 1187 
2023-11-30T20:07:30 | 7253 | 5 | 1202 
2023-11-30T20:07:45 | 7253 | 5 | 1217 
2023-11-30T20:08:00 | 7253 | 5 | 1232 
2023-11-30T20:08:15 | 7253 | 5 | 1247 
2023-11-30T20:08:30 | 7253 | 5 | 1262 
2023-11-30T20:08:45 | 7253 | 5 | 1277 
2023-11-30T20:09:00 | 7253 | 5 | 1292 
2023-11-30T20:09:15 | 7253 | 5 | 1307 
2023-11-30T20:09:30 | 7466 | 5 | 1322 
2023-11-30T20:09:45 | 7466 | 5 | 1337 
2023-11-30T20:10:00 | 7253 | 5 | 1352 
2023-11-30T20:10:15 | 7253 | 5 | 1367 
2023-11-30T20:10:30 | 7253 | 5 | 1382 
2023-11-30T20:10:45 | 7253 | 5 | 1397 
2023-11-30T20:11:00 | 7253 | 5 | 1412 
2023-11-30T20:11:15 | 7040 | 5 | 1427 
2023-11-30T20:11:30 | 7253 | 5 | 1442 
2023-11-30T20:11:45 | 7253 | 5 | 1457 
2023-11-30T20:12:00 | 7253 | 5 | 1472 
2023-11-30T20:12:15 | 7253 | 5 | 1487 
2023-11-30T20:12:30 | 7253 | 5 | 1502 
2023-11-30T20:12:45 | 7253 | 5 | 1517 
2023-11-30T20:13:00 | 7253 | 5 | 1532 
2023-11-30T20:13:15 | 7253 | 5 | 1547 
2023-11-30T20:13:30 | 7253 | 5 | 1562 
2023-11-30T20:13:45 | 7253 | 5 | 1577 
2023-11-30T20:14:00 | 7253 | 5 | 1592 
2023-11-30T20:14:15 | 7253 | 5 | 1607 
2023-11-30T20:14:30 | 7253 | 5 | 1622 
2023-11-30T20:14:45 | 7253 | 5 | 1637 
2023-11-30T20:15:00 | 7040 | 5 | 1652 
2023-11-30T20:15:15 | 7253 | 5 | 1667 
2023-11-30T20:15:30 | 7253 | 5 | 1682 
2023-11-30T20:15:45 | 7253 | 5 | 1697 
2023-11-30T20:16:00 | 7040 | 5 | 1712 
2023-11-30T20:16:15 | 7253 | 5 | 1727 
2023-11-30T20:16:30 | 7253 | 5 | 1742 
2023-11-30T20:16:45 | 7253 | 5 | 1757 
2023-11-30T20:17:00 | 7040 | 5 | 1772 
2023-11-30T20:17:15 | 7040 | 5 | 1787 
2023-11-30T20:17:30 | 7040 | 5 | 1802 
2023-11-30T20:17:45 | 7040 | 5 | 1817 
2023-11-30T20:18:00 | 7040 | 5 | 1832 
2023-11-30T20:18:15 | 7040 | 5 | 1847 
2023-11-30T20:18:30 | 7040 | 5 | 1862 
2023-11-30T20:18:45 | 7040 | 5 | 1877 
2023-11-30T20:19:00 | 7040 | 5 | 1892 
2023-11-30T20:19:15 | 7253 | 5 | 1907 
2023-11-30T20:19:30 | 7253 | 5 | 1922 
2023-11-30T20:19:45 | 7253 | 5 | 1937 
2023-11-30T20:20:00 | 7253 | 5 | 1952 
2023-11-30T20:20:15 | 7253 | 5 | 1967 
2023-11-30T20:20:30 | 6826 | 5 | 1982 
2023-11-30T20:20:45 | 7040 | 5 | 1997 
2023-11-30T20:21:00 | 7040 | 5 | 2012 
2023-11-30T20:21:15 | 7040 | 5 | 2027 
2023-11-30T20:21:30 | 7040 | 5 | 2042 
2023-11-30T20:21:45 | 7040 | 5 | 2057 
2023-11-30T20:22:00 | 7040 | 5 | 2072 
2023-11-30T20:22:15 | 7040 | 5 | 2087 
2023-11-30T20:22:30 | 7040 | 5 | 2102 
2023-11-30T20:22:45 | 7040 | 5 | 2117 
2023-11-30T20:23:00 | 7040 | 5 | 2132 
2023-11-30T20:23:15 | 7253 | 5 | 2147 
2023-11-30T20:23:30 | 7040 | 5 | 2162 
2023-11-30T20:23:45 | 6826 | 5 | 2177 
2023-11-30T20:24:00 | 6826 | 5 | 2192 
2023-11-30T20:24:15 | 6826 | 5 | 2207 
2023-11-30T20:24:30 | 6826 | 5 | 2222 
2023-11-30T20:24:45 | 6826 | 5 | 2237 
2023-11-30T20:25:00 | 6826 | 5 | 2252 
2023-11-30T20:25:15 | 6826 | 5 | 2267 
2023-11-30T20:25:30 | 6826 | 5 | 2282 
2023-11-30T20:25:45 | 6826 | 5 | 2297 
2023-11-30T20:26:00 | 6826 | 5 | 2312 
2023-11-30T20:26:15 | 6826 | 5 | 2327 
2023-11-30T20:26:30 | 6826 | 5 | 2342 
2023-11-30T20:26:45 | 6826 | 5 | 2357 
2023-11-30T20:27:00 | 6826 | 5 | 2372 
2023-11-30T20:27:15 | 6826 | 5 | 2387 
2023-11-30T20:27:30 | 6826 | 5 | 2402 
2023-11-30T20:27:45 | 6826 | 5 | 2417 
2023-11-30T20:28:00 | 6826 | 5 | 2432 
2023-11-30T20:28:15 | 6826 | 5 | 2447 
2023-11-30T20:28:30 | 6826 | 5 | 2462 
2023-11-30T20:28:45 | 6826 | 5 | 2477 
2023-11-30T20:29:00 | 6826 | 5 | 2492 
2023-11-30T20:29:15 | 6826 | 5 | 2507 
2023-11-30T20:29:30 | 6826 | 5 | 2522 
2023-11-30T20:29:45 | 6826 | 5 | 2537 
2023-11-30T20:30:00 | 6826 | 5 | 2552 
2023-11-30T20:30:15 | 6826 | 5 | 2567 
2023-11-30T20:30:30 | 6826 | 5 | 2582 
2023-11-30T20:30:45 | 6826 | 5 | 2597 
2023-11-30T20:31:00 | 6826 | 5 | 2612 
2023-11-30T20:31:15 | 6826 | 5 | 2627 
2023-11-30T20:31:30 | 6826 | 5 | 2642 
2023-11-30T20:31:45 | 6826 | 5 | 2657 
2023-11-30T20:32:00 | 6826 | 5 | 2672 
2023-11-30T20:32:15 | 6826 | 5 | 2687 
2023-11-30T20:32:30 | 7040 | 5 | 2702 
2023-11-30T20:32:45 | 7040 | 5 | 2717 
2023-11-30T20:33:00 | 7040 | 5 | 2732 
2023-11-30T20:33:15 | 7040 | 5 | 2747 
2023-11-30T20:33:30 | 7040 | 5 | 2762 
2023-11-30T20:33:45 | 7040 | 5 | 2777 
2023-11-30T20:34:00 | 7040 | 5 | 2792 
2023-11-30T20:34:15 | 7040 | 5 | 2807 
2023-11-30T20:34:30 | 7040 | 5 | 2822 
2023-11-30T20:34:45 | 7040 | 5 | 2837 
2023-11-30T20:35:00 | 7040 | 5 | 2852 
2023-11-30T20:35:15 | 7040 | 5 | 2867 
2023-11-30T20:35:30 | 7040 | 5 | 2882 
2023-11-30T20:35:45 | 7040 | 5 | 2897 
2023-11-30T20:36:00 | 7040 | 5 | 2912 
2023-11-30T20:36:15 | 7040 | 5 | 2927 
2023-11-30T20:36:30 | 7040 | 5 | 2942 
2023-11-30T20:36:45 | 7040 | 5 | 2957 
2023-11-30T20:37:00 | 6826 | 5 | 2972 
2023-11-30T20:37:15 | 6826 | 5 | 2987 
2023-11-30T20:37:30 | 6826 | 5 | 3002 
2023-11-30T20:37:45 | 6826 | 5 | 3017 
2023-11-30T20:38:00 | 6826 | 5 | 3032 
2023-11-30T20:38:15 | 6826 | 5 | 3047 
2023-11-30T20:38:30 | 6826 | 5 | 3062 
2023-11-30T20:38:45 | 6826 | 5 | 3077 
2023-11-30T20:39:00 | 8533 | 6 | 3092 
2023-11-30T20:39:15 | 6826 | 5 | 3107 
2023-11-30T20:39:30 | 6826 | 5 | 3122 
2023-11-30T20:39:45 | 6826 | 5 | 3137 
2023-11-30T20:40:00 | 6826 | 5 | 3152 
2023-11-30T20:40:15 | 6826 | 5 | 3167 
2023-11-30T20:40:30 | 6826 | 5 | 3182 
2023-11-30T20:40:45 | 6826 | 5 | 3197 
2023-11-30T20:41:00 | 6826 | 5 | 3212 
2023-11-30T20:41:15 | 6826 | 5 | 3227 
2023-11-30T20:41:30 | 6826 | 5 | 3242 
2023-11-30T20:41:45 | 6826 | 5 | 3257 
2023-11-30T20:42:00 | 6826 | 5 | 3272 
2023-11-30T20:42:15 | 6826 | 5 | 3287 
2023-11-30T20:42:30 | 6826 | 5 | 3302 
2023-11-30T20:42:45 | 6826 | 5 | 3317 
2023-11-30T20:43:00 | 6826 | 5 | 3332 
2023-11-30T20:43:15 | 6826 | 5 | 3347 
2023-11-30T20:43:30 | 6826 | 5 | 3362 
2023-11-30T20:43:45 | 6826 | 5 | 3377 
2023-11-30T20:44:00 | 6826 | 5 | 3392 
2023-11-30T20:44:15 | 6826 | 5 | 3407 
2023-11-30T20:44:30 | 6826 | 5 | 3422 
2023-11-30T20:44:45 | 6826 | 5 | 3437 
2023-11-30T20:45:00 | 6826 | 5 | 3452 
2023-11-30T20:45:15 | 6826 | 5 | 3467 
2023-11-30T20:45:30 | 6826 | 5 | 3482 
2023-11-30T20:45:45 | 6826 | 5 | 3497 
2023-11-30T20:46:00 | 6826 | 5 | 3512 
2023-11-30T20:46:15 | 6826 | 5 | 3527 
2023-11-30T20:46:30 | 6826 | 5 | 3542 
2023-11-30T20:46:45 | 6826 | 5 | 3557 
2023-11-30T20:47:00 | 6826 | 5 | 3572 
2023-11-30T20:47:15 | 6826 | 5 | 3587 
2023-11-30T20:47:30 | 7466 | 6 | 3602 
2023-11-30T20:47:45 | 7466 | 6 | 3617 
2023-11-30T20:48:00 | 7466 | 6 | 3632 
2023-11-30T20:48:15 | 7466 | 6 | 3647 
2023-11-30T20:48:30 | 7466 | 6 | 3662 
2023-11-30T20:48:45 | 7466 | 6 | 3677 
2023-11-30T20:49:00 | 7466 | 6 | 3692 
2023-11-30T20:49:15 | 7466 | 6 | 3707 
2023-11-30T20:49:30 | 7466 | 6 | 3722 
2023-11-30T20:49:45 | 7466 | 6 | 3737 
2023-11-30T20:50:00 | 7466 | 6 | 3752 
2023-11-30T20:50:15 | 7466 | 6 | 3767 
2023-11-30T20:50:30 | 7466 | 6 | 3782 
2023-11-30T20:50:45 | 7466 | 6 | 3797 
2023-11-30T20:51:00 | 7466 | 6 | 3812 
2023-11-30T20:51:15 | 7466 | 6 | 3827 
2023-11-30T20:51:30 | 7466 | 6 | 3842 
2023-11-30T20:51:45 | 7466 | 6 | 3857 
2023-11-30T20:52:00 | 7466 | 6 | 3872 
2023-11-30T20:52:15 | 7466 | 6 | 3887 
2023-11-30T20:52:30 | 7466 | 6 | 3902 
2023-11-30T20:52:45 | 7466 | 6 | 3917 
2023-11-30T20:53:00 | 7466 | 6 | 3932 
2023-11-30T20:53:15 | 7466 | 6 | 3947 
2023-11-30T20:53:30 | 7466 | 6 | 3962 
2023-11-30T20:53:45 | 7466 | 6 | 3977 
2023-11-30T20:54:00 | 7466 | 6 | 3992 
2023-11-30T20:54:15 | 7466 | 6 | 4007 
2023-11-30T20:54:30 | 7466 | 6 | 4022 
2023-11-30T20:54:45 | 7040 | 6 | 4037 
2023-11-30T20:55:00 | 7040 | 6 | 4052 
2023-11-30T20:55:15 | 6826 | 6 | 4067 
2023-11-30T20:55:30 | 6826 | 6 | 4082 
2023-11-30T20:55:45 | 6826 | 6 | 4097 
2023-11-30T20:56:00 | 6826 | 6 | 4112 
2023-11-30T20:56:15 | 6826 | 6 | 4127 
2023-11-30T20:56:30 | 6826 | 6 | 4142 
2023-11-30T20:56:45 | 6826 | 6 | 4157 
2023-11-30T20:57:00 | 6826 | 6 | 4172 
2023-11-30T20:57:15 | 6826 | 6 | 4187 
2023-11-30T20:57:30 | 6826 | 6 | 4202 
2023-11-30T20:57:45 | 6826 | 6 | 4217 
2023-11-30T20:58:00 | 6826 | 6 | 4232 
2023-11-30T20:58:15 | 6826 | 6 | 4247 
2023-11-30T20:58:30 | 6826 | 6 | 4262 
2023-11-30T20:58:45 | 6826 | 6 | 4277 
2023-11-30T20:59:00 | 6826 | 6 | 4292 
2023-11-30T20:59:15 | 6826 | 6 | 4307 
2023-11-30T20:59:30 | 6826 | 6 | 4322 
2023-11-30T20:59:45 | 6826 | 6 | 4337 
2023-11-30T21:00:00 | 6826 | 6 | 4352 
2023-11-30T21:00:15 | 6826 | 6 | 4367 
2023-11-30T21:00:30 | 6826 | 6 | 4382 
2023-11-30T21:00:45 | 6826 | 6 | 4397 
2023-11-30T21:01:00 | 6826 | 6 | 4412 
2023-11-30T21:01:15 | 6826 | 6 | 4427 
2023-11-30T21:01:30 | 6826 | 6 | 4442 
2023-11-30T21:01:45 | 7040 | 6 | 4457 
2023-11-30T21:02:00 | 6826 | 6 | 4472 
2023-11-30T21:02:15 | 7040 | 6 | 4487 
2023-11-30T21:02:30 | 7040 | 6 | 4502 
2023-11-30T21:02:45 | 7040 | 6 | 4517 
2023-11-30T21:03:00 | 7040 | 6 | 4532 
2023-11-30T21:03:15 | 7040 | 6 | 4547 
2023-11-30T21:03:30 | 7040 | 6 | 4562 
2023-11-30T21:03:45 | 7040 | 6 | 4577 
2023-11-30T21:04:00 | 7040 | 6 | 4592 
2023-11-30T21:04:15 | 7040 | 6 | 4607 
2023-11-30T21:04:30 | 7040 | 6 | 4622 
2023-11-30T21:04:45 | 7040 | 6 | 4637 
2023-11-30T21:05:00 | 7040 | 6 | 4652 
2023-11-30T21:05:15 | 7040 | 6 | 4667 
2023-11-30T21:05:30 | 7040 | 6 | 4682 
2023-11-30T21:05:45 | 7040 | 6 | 4697 
2023-11-30T21:06:00 | 7040 | 6 | 4712 
2023-11-30T21:06:15 | 7040 | 6 | 4727 
2023-11-30T21:06:30 | 7040 | 6 | 4742 
2023-11-30T21:06:45 | 7040 | 6 | 4757 
2023-11-30T21:07:00 | 7040 | 6 | 4772 
2023-11-30T21:07:15 | 7040 | 6 | 4787 
2023-11-30T21:07:30 | 6826 | 6 | 4802 
2023-11-30T21:07:45 | 6400 | 9 | 4817 
2023-11-30T21:08:00 | 7680 | 3 | 4832 
2023-11-30T21:08:15 | 7680 | 3 | 4847 
2023-11-30T21:08:30 | 7680 | 3 | 4862 
2023-11-30T21:08:45 | 7466 | 3 | 4877 
2023-11-30T21:09:00 | 7466 | 3 | 4892 
2023-11-30T21:09:15 | 7466 | 3 | 4907 
2023-11-30T21:09:30 | 7466 | 3 | 4922 
2023-11-30T21:09:45 | 7466 | 3 | 4937 
2023-11-30T21:10:00 | 7466 | 3 | 4952 
2023-11-30T21:10:15 | 7466 | 3 | 4967 
2023-11-30T21:10:30 | 7253 | 3 | 4982 
2023-11-30T21:10:45 | 7253 | 3 | 4997 
2023-11-30T21:11:00 | 7253 | 3 | 5012 
2023-11-30T21:11:15 | 7253 | 3 | 5027 
2023-11-30T21:11:30 | 7253 | 3 | 5042 
2023-11-30T21:11:45 | 7253 | 3 | 5057 
2023-11-30T21:12:00 | 7253 | 3 | 5072 
2023-11-30T21:12:15 | 7253 | 3 | 5087 
2023-11-30T21:12:30 | 7253 | 3 | 5102 
2023-11-30T21:12:45 | 7253 | 3 | 5117 
2023-11-30T21:13:00 | 7253 | 3 | 5132 
2023-11-30T21:13:15 | 7253 | 3 | 5147 
2023-11-30T21:13:30 | 7253 | 3 | 5162 
2023-11-30T21:13:45 | 7253 | 3 | 5177 
2023-11-30T21:14:00 | 7253 | 3 | 5192 
2023-11-30T21:14:15 | 7253 | 3 | 5207 
2023-11-30T21:14:30 | 7253 | 3 | 5222 
2023-11-30T21:14:45 | 7253 | 3 | 5237 
2023-11-30T21:15:00 | 6613 | 5 | 5252 
2023-11-30T21:15:15 | 7466 | 3 | 5267 
2023-11-30T21:15:30 | 7253 | 3 | 5282 
2023-11-30T21:15:45 | 7253 | 3 | 5297 
2023-11-30T21:16:00 | 7253 | 3 | 5312 
2023-11-30T21:16:15 | 7253 | 3 | 5327 
2023-11-30T21:16:30 | 7253 | 3 | 5342 
2023-11-30T21:16:45 | 7253 | 3 | 5357 
2023-11-30T21:17:00 | 7253 | 3 | 5372 
2023-11-30T21:17:15 | 7253 | 3 | 5387 
2023-11-30T21:17:30 | 7253 | 3 | 5402 
2023-11-30T21:17:45 | 7253 | 3 | 5417 
2023-11-30T21:18:00 | 7253 | 3 | 5432 
2023-11-30T21:18:15 | 7253 | 3 | 5447 
2023-11-30T21:18:30 | 7253 | 3 | 5462 
2023-11-30T21:18:45 | 7253 | 3 | 5477 
2023-11-30T21:19:00 | 7253 | 3 | 5492 
2023-11-30T21:19:15 | 7253 | 3 | 5507 
